Quarter,Quantity
"Q1 1997",453565
"Q2 1997",457544
"Q3 1997",498648
"Q4 1997",537281
"Q1 1998",492776
"Q2 1998",465121
"Q3 1998",424648
"Q4 1998",497180
"Q1 1999",474650
"Q2 1999",449636
"Q3 1999",448780
"Q4 1999",473980
"Q1 2000",528412
"Q2 2000",476276
"Q3 2000",538834
"Q4 2000",573260
"Q1 2001",540266
"Q2 2001",521257
"Q3 2001",534765
"Q4 2001",567656
"Q1 2002",569904
"Q2 2002",599243
"Q3 2002",575991
"Q4 2002",628625
"Q1 2003",623538
"Q2 2003",561731
"Q3 2003",567661
"Q4 2003",589076
"Q1 2004",600365
"Q2 2004",583860
"Q3 2004",585288
"Q4 2004",632138
"Q1 2005",575716
"Q2 2005",564767
"Q3 2005",573875
"Q4 2005",574782
"Q1 2006",529235
"Q2 2006",515008
"Q3 2006",502878
"Q4 2006",554633
"Q1 2007",548818
"Q2 2007",504999
"Q3 2007",571055
"Q4 2007",591139
"Q1 2008",583833
"Q2 2008",553006
"Q3 2008",558481
"Q4 2008",571498
"Q1 2009",515827
"Q2 2009",486459
"Q3 2009",513027
"Q4 2009",574983
"Q1 2010",569938
"Q2 2010",538067
"Q3 2010",572669
"Q4 2010",622004
"Q1 2011",592085
"Q2 2011",586154
"Q3 2011",652075
"Q4 2011",671557
"Q1 2012",583875
"Q2 2012",553837
"Q3 2012",586427
"Q4 2012",603700
"Q1 2013",602528
"Q2 2013",583383
"Q3 2013",654941
"Q4 2013",682964
"Q1 2014",633620
"Q2 2014",587154
"Q3 2014",636767
"Q4 2014",663346
"Q1 2015",615492
"Q2 2015",613518
"Q3 2015",659067
"Q4 2015",714681
"Q1 2016",617457
"Q2 2016",589373
"Q3 2016",653640
"Q4 2016",695804
"Q1 2017",678310
"Q2 2017",702647
"Q3 2017",719936
"Q4 2017",765395
"Q1 2018",679212
"Q2 2018",620362
"Q3 2018",702893
"Q4 2018",718910